step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,45930.8018,17824.6652,0.9849,0.010000,0
2000,101056.2955,53450.8975,1.0000,0.010000,0
3000,136532.4753,80744.7830,0.9867,0.010000,0
4000,47810.9246,20927.3608,1.0000,0.010000,0
5000,108496.3904,57119.0637,1.0000,0.010000,0
6000,132920.9152,76658.1811,0.9860,0.010000,0
7000,50460.1322,23704.9834,1.0000,0.010000,0
8000,106442.5395,59626.2067,1.0000,0.010000,0
9000,117654.6016,70189.0434,0.9863,0.010000,0
10000,56757.0010,26874.4751,1.0000,0.010000,0
11000,111245.0564,62582.8845,1.0000,0.010000,0
12000,109230.3449,64809.2100,0.9832,0.010000,0
13000,60612.7315,29048.5905,1.0000,0.010000,0
14000,115232.6704,64571.1110,1.0000,0.010000,0
15000,101892.7113,58542.1340,0.9847,0.010000,0
16000,63887.2452,32525.4248,1.0000,0.010000,0
17000,115923.9892,67656.8552,1.0000,0.010000,0
18000,92313.3454,53385.1186,0.9837,0.010000,0
19000,72139.4069,35907.4700,1.0000,0.010000,0
20000,124798.1227,71906.0570,1.0000,0.010000,0
21000,86615.2656,48516.0979,0.9840,0.010000,0
22000,74269.3266,37786.7680,1.0000,0.010000,0
23000,124559.0031,74289.3451,1.0000,0.010000,0
24000,76623.0672,43030.5656,0.9845,0.010000,0
25000,78498.0491,40891.0684,1.0000,0.010000,0
26000,129569.7360,76742.4578,1.0000,0.010000,0
27000,70866.7429,37292.7219,0.9810,0.010000,0
28000,85074.8807,44346.2486,1.0000,0.010000,0
29000,136738.6832,80796.6134,1.0000,0.010000,0
30000,63562.2303,32270.0593,0.9845,0.010000,0
31000,89491.8812,47281.8146,1.0000,0.010000,0
32000,138702.1470,83694.6052,1.0000,0.010000,0
33000,55510.9512,26413.0987,0.9816,0.010000,0
34000,93211.2841,49595.7949,1.0000,0.010000,0
35000,140481.8144,85629.3663,1.0000,0.010000,0
36000,46931.4486,20718.6995,0.9866,0.010000,0
37000,95346.3104,52255.1812,1.0000,0.010000,0
38000,138961.0427,83983.4981,0.9830,0.010000,0
39000,43343.4384,19438.2348,1.0000,0.010000,0
40000,100551.3558,55103.1184,1.0000,0.010000,0
41000,131546.7202,78441.7403,0.9841,0.010000,0
42000,49992.6653,22394.1781,1.0000,0.010000,0
43000,106908.1793,57611.8111,1.0000,0.010000,0
44000,124124.3497,72723.4976,0.9851,0.010000,0
45000,53718.7892,25556.7320,1.0000,0.010000,0
46000,108624.0883,61096.0030,1.0000,0.010000,0
47000,113464.1370,67273.9353,0.9847,0.010000,0
48000,57998.1341,28224.6473,1.0000,0.010000,0
49000,111273.7951,63758.7110,1.0000,0.010000,0
50000,104783.9535,62204.0070,0.9842,0.010000,0
51000,61854.4137,30988.8314,1.0000,0.010000,0
52000,115948.3215,66886.1881,1.0000,0.010000,0
53000,97960.0291,56520.1817,0.9845,0.010000,0
54000,68359.6993,33396.9164,1.0000,0.010000,0
55000,120436.5144,69456.4710,1.0000,0.010000,0
56000,90440.0958,51136.0024,0.9816,0.010000,0
57000,71258.2204,36378.8498,1.0000,0.010000,0
58000,121716.6882,72160.4020,1.0000,0.010000,0
59000,81504.3212,45537.2619,0.9838,0.010000,0
60000,79147.8253,40144.1809,1.0000,0.010000,0
61000,130376.0527,75714.1467,1.0000,0.010000,0
