step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,44123.1025,18078.8509,0.9827,0.010000,0
2000,97631.4377,54200.4630,1.0000,0.010000,0
3000,134619.4731,82015.8624,0.9846,0.010000,0
4000,46231.4041,20910.3564,1.0000,0.010000,0
5000,104209.3385,56738.4907,1.0000,0.010000,0
6000,128418.2823,76038.4753,0.9866,0.010000,0
7000,50944.3791,23603.9915,1.0000,0.010000,0
8000,106288.9356,59434.7557,1.0000,0.010000,0
9000,117826.5930,70527.6709,0.9851,0.010000,0
10000,54862.5343,26524.1324,1.0000,0.010000,0
11000,109724.1687,62310.7270,1.0000,0.010000,0
12000,109979.2237,65198.6083,0.9811,0.010000,0
13000,59985.5268,29427.5809,1.0000,0.010000,0
14000,113691.4970,65357.6590,1.0000,0.010000,0
15000,100327.7858,59430.1266,0.9863,0.010000,0
16000,64207.0973,32358.9688,1.0000,0.010000,0
17000,117710.3133,68357.6336,1.0000,0.010000,0
18000,92774.3965,53792.6002,0.9841,0.010000,0
19000,69699.2724,34876.0862,1.0000,0.010000,0
20000,119127.0501,70162.7067,1.0000,0.010000,0
21000,82426.2315,47469.5273,0.9836,0.010000,0
22000,71335.3961,37257.7869,1.0000,0.010000,0
23000,118718.0077,72052.3159,1.0000,0.010000,0
24000,73795.9091,41908.2449,0.9806,0.010000,0
25000,77346.8041,40377.2818,1.0000,0.010000,0
26000,124315.0073,74977.1595,1.0000,0.010000,0
27000,67297.4176,36668.0159,0.9853,0.010000,0
28000,82268.0961,43047.9363,1.0000,0.010000,0
29000,128107.9525,77738.2155,1.0000,0.010000,0
30000,60290.1755,31058.1796,0.9850,0.010000,0
31000,86493.9765,45136.2852,1.0000,0.010000,0
32000,135898.1893,80705.4211,1.0000,0.010000,0
33000,52591.2627,25565.5805,0.9867,0.010000,0
34000,89074.2308,48204.9927,1.0000,0.010000,0
35000,136159.0338,83446.2690,1.0000,0.010000,0
36000,47970.1025,20645.3455,0.9826,0.010000,0
37000,95635.0809,52393.5364,1.0000,0.010000,0
38000,138154.1509,83649.5090,0.9833,0.010000,0
39000,41716.1199,18922.2281,1.0000,0.010000,0
40000,95818.1821,53752.5827,1.0000,0.010000,0
41000,124901.2225,76263.5712,0.9805,0.010000,0
42000,46935.8524,22092.3516,1.0000,0.010000,0
43000,100054.8688,56951.4031,1.0000,0.010000,0
44000,115911.2399,71152.3343,0.9827,0.010000,0
45000,50795.8448,24635.1463,1.0000,0.010000,0
46000,102737.7777,59457.4257,1.0000,0.010000,0
47000,108584.3406,65732.3249,0.9820,0.010000,0
48000,57103.1312,27283.5058,1.0000,0.010000,0
49000,108112.4645,62183.1006,1.0000,0.010000,0
50000,101976.0607,60488.8974,0.9811,0.010000,0
51000,62314.1256,30452.6734,1.0000,0.010000,0
52000,113310.4843,64979.6527,1.0000,0.010000,0
53000,94835.4975,55061.2443,0.9863,0.010000,0
54000,67053.5157,33315.5733,1.0000,0.010000,0
55000,118029.6906,67472.5007,1.0000,0.010000,0
56000,87771.8829,49628.8758,0.9849,0.010000,0
57000,71026.0776,35506.4154,1.0000,0.010000,0
58000,119445.6042,69936.5926,1.0000,0.010000,0
59000,79256.8743,44091.4001,0.9819,0.010000,0
60000,75663.1365,38412.3505,1.0000,0.010000,0
61000,125962.7418,73204.6744,1.0000,0.010000,0
62000,71566.4610,38946.6100,0.9883,0.010000,0
63000,77298.4714,40721.7366,1.0000,0.010000,0
64000,126236.2799,75449.5341,1.0000,0.010000,0
65000,63754.5482,33446.5330,0.9830,0.010000,0
66000,81340.3472,43929.6579,1.0000,0.010000,0
67000,129588.8290,78597.8716,1.0000,0.010000,0
68000,57057.9678,28099.0726,0.9822,0.010000,0
69000,87111.5680,46259.9768,1.0000,0.010000,0
70000,135413.8516,81178.8060,1.0000,0.010000,0
71000,49872.8863,23033.7317,0.9852,0.010000,0
72000,90762.1680,49663.9427,1.0000,0.010000,0
73000,136184.3754,84548.4395,1.0000,0.010000,0
74000,44536.0187,18138.7229,0.9828,0.010000,0
75000,97334.3457,53325.8584,1.0000,0.010000,0
76000,132529.0452,79932.2837,0.9854,0.010000,0
77000,45486.2543,20391.6875,1.0000,0.010000,0
78000,98943.2911,54982.1267,1.0000,0.010000,0
79000,122412.9665,73722.0221,0.9848,0.010000,0
80000,49882.0676,23315.7476,1.0000,0.010000,0
81000,102711.4645,57975.6532,1.0000,0.010000,0
82000,113734.1305,68084.7869,0.9810,0.010000,0
83000,53990.7041,25727.1455,1.0000,0.010000,0
84000,103954.8324,59806.3972,1.0000,0.010000,0
85000,104430.8073,62068.3639,0.9843,0.010000,0
86000,59302.4798,29336.3416,1.0000,0.010000,0
87000,110961.0361,64325.0964,1.0000,0.010000,0
88000,97566.7525,58145.6540,0.9862,0.010000,0
89000,62763.7883,31644.2751,1.0000,0.010000,0
90000,113937.6168,65980.2491,1.0000,0.010000,0
91000,89142.6508,51812.3483,0.9852,0.010000,0
92000,66564.2245,33802.0661,1.0000,0.010000,0
93000,115084.1676,68299.1453,1.0000,0.010000,0
94000,80001.1115,46226.1849,0.9871,0.010000,0
95000,70993.0261,35945.5593,1.0000,0.010000,0
96000,119542.6015,70145.9005,1.0000,0.010000,0
97000,73983.9339,40882.4925,0.9845,0.010000,0
98000,75385.2391,39485.2028,1.0000,0.010000,0
99000,120409.6732,73536.5965,1.0000,0.010000,0
100000,65064.9655,35690.1025,0.9821,0.010000,0
101000,77148.3823,41715.6733,1.0000,0.010000,0
102000,120315.0504,75364.7400,1.0000,0.010000,0
103000,57791.5136,30113.1227,0.9842,0.010000,0
104000,83911.6594,44718.0848,1.0000,0.010000,0
105000,127570.5437,78916.2495,1.0000,0.010000,0
106000,52323.3454,25453.4800,0.9811,0.010000,0
