seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
456,High_Volatility,M3: PPO + Priors,0,18248435.430568933,18248435.430568933,46635.08875444654,0.562060839732093,0.4897297923928194,0.015862529644376823
456,High_Volatility,M3: PPO + Priors,1,17216025.732923746,17216025.732923746,45404.686802291864,0.557906809338147,0.4210427948072172,0.017701663312163364
456,High_Volatility,M3: PPO + Priors,2,17177372.193748236,17177372.193748236,45062.43776760641,0.5608561349232918,0.549921496779227,0.018270771827277685
456,High_Volatility,M3: PPO + Priors,3,18074806.064712524,18074806.064712524,45665.1127612101,0.5610200279264177,0.45668951700112576,0.016083154203581817
456,High_Volatility,M3: PPO + Priors,4,18886564.22568953,18886564.22568953,47680.023267290104,0.5631555982290672,0.6016280061411564,0.015669214149397873
456,High_Volatility,M3: PPO + Priors,5,17624934.60389018,17624934.60389018,47583.59500250102,0.5592414655669757,0.5129978756419523,0.016364497710941433
456,High_Volatility,M3: PPO + Priors,6,17152613.501033306,17152613.501033306,45659.84747931186,0.556731460336023,0.47239134254761667,0.017956866052986416
456,High_Volatility,M3: PPO + Priors,7,17245160.537195563,17245160.537195563,45340.67690648354,0.5593063506115321,0.5115971163006997,0.01711479543017778
456,High_Volatility,M3: PPO + Priors,8,17283331.93657422,17283331.93657422,46295.093078855425,0.5576950675048244,0.47079395853548345,0.016560473574471324
456,High_Volatility,M3: PPO + Priors,9,17649994.050742686,17649994.050742686,46871.73759390621,0.5635933210319293,0.5648460987408845,0.016459687802549857
456,High_Volatility,M3: PPO + Priors,10,16858156.1252594,16858156.1252594,46029.01168284558,0.5628268193101583,0.4442633827388467,0.0177694518106502
456,High_Volatility,M3: PPO + Priors,11,17063668.172540426,17063668.172540426,45668.02050893746,0.5609961212621674,0.6055425125654679,0.016797208046920427
456,High_Volatility,M3: PPO + Priors,12,17713381.733752012,17713381.733752012,46114.03749666662,0.5600891613063602,0.5357729941162919,0.016799124129420844
456,High_Volatility,M3: PPO + Priors,13,17471186.100773096,17471186.100773096,46665.53569555146,0.560916968447227,0.5839224048180155,0.017459300606113597
456,High_Volatility,M3: PPO + Priors,14,17711172.043005466,17711172.043005466,46285.745272093656,0.5590961388409497,0.44757222733904495,0.01711994810046813
456,High_Volatility,M3: PPO + Priors,15,18538607.281549692,18538607.281549692,48150.79574196969,0.5650126433346646,0.5684452284360949,0.015945397354827147
456,High_Volatility,M3: PPO + Priors,16,17871802.464279592,17871802.464279592,47259.97915191209,0.5632977469122145,0.5404030546592875,0.017141354775968072
456,High_Volatility,M3: PPO + Priors,17,18002740.4067688,18002740.4067688,46103.97062134142,0.5599948339936698,0.501353498327373,0.016488041045402836
456,High_Volatility,M3: PPO + Priors,18,17076622.762747884,17076622.762747884,45516.29415501677,0.559445863963804,0.4535662386120419,0.0179382865543897
456,High_Volatility,M3: PPO + Priors,19,16428233.695050716,16428233.695050716,46427.454793553516,0.5634205408887877,0.48596913798531527,0.018231193931484566
456,High_Volatility,M3: PPO + Priors,20,16660799.15952444,16660799.15952444,45925.98379546737,0.5600823210251211,0.5053417719634666,0.01754375797843449
456,High_Volatility,M3: PPO + Priors,21,18693460.452060938,18693460.452060938,46590.87408412321,0.5590065191522375,0.4425531737832992,0.016138659997558306
456,High_Volatility,M3: PPO + Priors,22,17016367.863510847,17016367.863510847,45264.87086532296,0.5598890871040825,0.5090445813837037,0.018267419293275945
456,High_Volatility,M3: PPO + Priors,23,17195589.43845439,17195589.43845439,45219.314492961945,0.5587497734706539,0.56574673881141,0.01740905108473218
456,High_Volatility,M3: PPO + Priors,24,18139703.14750552,18139703.14750552,46432.7044116977,0.559924509655553,0.5241329105537865,0.017079752847495053
456,High_Volatility,M3: PPO + Priors,25,17179133.271066666,17179133.271066666,46057.66743499378,0.558762191678965,0.519950832265012,0.01689501255193379
456,High_Volatility,M3: PPO + Priors,26,17430962.48141265,17430962.48141265,46170.939881711856,0.5594436390975094,0.5208490853861744,0.01672943079094125
456,High_Volatility,M3: PPO + Priors,27,16911660.70928371,16911660.70928371,45736.49254120819,0.560081965193668,0.5165041380617966,0.01760622269491472
456,High_Volatility,M3: PPO + Priors,28,18064676.52213049,18064676.52213049,45776.457341080415,0.5601367136364387,0.6029758728387278,0.015867005877376956
456,High_Volatility,M3: PPO + Priors,29,17528823.517513275,17528823.517513275,46923.8653875362,0.5589628494919182,0.6127965593684164,0.016834691850011144
