step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,51854.0044,17825.2671,0.9883,0.010000,0
2000,128392.0627,53452.7468,1.0000,0.010000,0
3000,185577.4318,80749.3325,0.9860,0.010000,0
4000,56384.7832,20926.8355,1.0000,0.010000,0
5000,136517.7515,57120.0753,1.0000,0.010000,0
6000,176934.1522,76661.3799,0.9844,0.010000,0
7000,62870.2236,23705.8345,1.0000,0.010000,0
8000,141713.3344,59629.3514,1.0000,0.010000,0
9000,163430.2585,70193.6292,0.9873,0.010000,0
10000,69514.9337,26872.6093,1.0000,0.010000,0
11000,146072.6847,62582.7727,1.0000,0.010000,0
12000,149517.4272,64811.2596,0.9857,0.010000,0
13000,74044.3480,29049.7879,1.0000,0.010000,0
14000,150771.8031,64575.0148,1.0000,0.010000,0
15000,137888.1377,58546.3196,0.9827,0.010000,0
16000,80374.9194,32526.2024,1.0000,0.010000,0
17000,155810.2928,67520.2380,1.0000,0.010000,0
18000,125049.0350,53029.5660,0.9876,0.010000,0
19000,88431.0723,35378.4935,1.0000,0.010000,0
20000,162843.2544,70664.1967,1.0000,0.010000,0
21000,113171.1077,47706.0775,0.9850,0.010000,0
22000,92189.7118,37183.7454,1.0000,0.010000,0
23000,167094.2892,72957.3732,1.0000,0.010000,0
24000,101849.5304,42309.1551,0.9835,0.010000,0
25000,98501.0417,40223.2586,1.0000,0.010000,0
26000,172342.8544,75375.8823,1.0000,0.010000,0
27000,90613.7632,36697.7539,0.9880,0.010000,0
28000,104509.4505,43642.0624,1.0000,0.010000,0
29000,178876.2493,79408.6701,1.0000,0.010000,0
30000,79901.5527,31799.8221,0.9846,0.010000,0
31000,113034.7245,46533.7901,1.0000,0.010000,0
32000,187323.6913,82229.4173,1.0000,0.010000,0
33000,68017.9973,26029.3676,0.9864,0.010000,0
34000,117111.2639,48778.6085,1.0000,0.010000,0
35000,189841.5728,84129.3460,1.0000,0.010000,0
36000,55910.6686,20503.5608,0.9856,0.010000,0
37000,120487.5416,51457.1195,1.0000,0.010000,0
38000,186811.6137,82560.0879,0.9859,0.010000,0
39000,52354.8300,19293.6506,1.0000,0.010000,0
40000,128253.2315,54300.2710,1.0000,0.010000,0
41000,176233.7701,77170.8863,0.9845,0.010000,0
42000,58710.8595,22167.9873,1.0000,0.010000,0
43000,134049.5224,56705.9456,1.0000,0.010000,0
44000,163671.0867,71494.4968,0.9851,0.010000,0
45000,64328.1150,25290.6380,1.0000,0.010000,0
46000,140155.5892,60134.4571,1.0000,0.010000,0
47000,152804.2512,66168.8323,0.9894,0.010000,0
48000,70983.5072,27916.6912,1.0000,0.010000,0
49000,145555.7644,62759.8494,1.0000,0.010000,0
50000,142175.6025,61272.2688,0.9841,0.010000,0
51000,78697.5648,30935.2379,1.0000,0.010000,0
52000,154405.3938,66483.5459,1.0000,0.010000,0
53000,131195.6818,56170.4281,0.9872,0.010000,0
54000,84234.7860,33308.9391,1.0000,0.010000,0
55000,159963.5530,69009.3834,1.0000,0.010000,0
56000,120563.8106,50841.0557,0.9855,0.010000,0
57000,89951.4097,36281.7092,1.0000,0.010000,0
58000,164226.1804,71695.1695,1.0000,0.010000,0
59000,107600.4556,45299.6119,0.9897,0.010000,0
60000,98260.0375,40029.0144,1.0000,0.010000,0
61000,173252.9693,75230.1944,1.0000,0.010000,0
62000,97187.2861,39956.6379,0.9864,0.010000,0
63000,101471.3940,42108.2491,1.0000,0.010000,0
64000,174275.9319,77204.5819,1.0000,0.010000,0
65000,85571.4916,34221.1888,0.9845,0.010000,0
66000,109018.1872,44957.7101,1.0000,0.010000,0
67000,182610.2952,80393.7083,1.0000,0.010000,0
68000,73342.1804,28690.5835,0.9846,0.010000,0
69000,114502.8987,46927.6633,1.0000,0.010000,0
70000,187303.1853,81743.9581,1.0000,0.010000,0
71000,62475.1221,23213.7206,0.9860,0.010000,0
72000,119876.4827,50040.6713,1.0000,0.010000,0
73000,193065.4640,85102.7648,1.0000,0.010000,0
74000,50143.0086,17856.1149,0.9876,0.010000,0
75000,124336.4247,52845.2811,1.0000,0.010000,0
76000,181663.0892,79680.3898,0.9867,0.010000,0
77000,55985.1138,20853.5602,1.0000,0.010000,0
78000,132484.0467,55781.5488,1.0000,0.010000,0
79000,170998.0236,74294.8038,0.9856,0.010000,0
80000,61746.8791,23654.9784,1.0000,0.010000,0
81000,139524.2354,59378.0639,1.0000,0.010000,0
82000,162271.7276,70481.4106,0.9889,0.010000,0
83000,66979.5020,25857.6558,1.0000,0.010000,0
84000,142176.4465,60586.8537,1.0000,0.010000,0
85000,146540.0128,63044.2070,0.9859,0.010000,0
86000,73878.7604,29343.0403,1.0000,0.010000,0
87000,149171.5837,64187.6543,1.0000,0.010000,0
88000,136050.4679,57952.2985,0.9842,0.010000,0
89000,79440.6101,31251.0349,1.0000,0.010000,0
90000,153435.2181,65747.0229,1.0000,0.010000,0
91000,123028.6851,51991.1508,0.9865,0.010000,0
92000,85849.3799,34138.4797,1.0000,0.010000,0
93000,159663.0579,68547.6334,1.0000,0.010000,0
94000,112530.0703,46635.1762,0.9846,0.010000,0
95000,91600.1894,36777.6719,1.0000,0.010000,0
96000,165507.3787,71981.2781,1.0000,0.010000,0
97000,100808.7171,41860.4941,0.9874,0.010000,0
98000,97844.8416,40372.0750,1.0000,0.010000,0
99000,171412.5440,75190.3283,1.0000,0.010000,0
100000,90138.4852,36658.9542,0.9829,0.010000,0
101000,103890.6563,43445.0502,1.0000,0.010000,0
102000,178063.4159,78995.1707,1.0000,0.010000,0
103000,78798.5204,31400.3831,0.9858,0.010000,0
104000,109720.2413,45882.8678,1.0000,0.010000,0
105000,182842.4118,81091.9680,1.0000,0.010000,0
106000,67701.8099,26207.4541,0.9861,0.010000,0
107000,116458.2474,49466.7105,1.0000,0.010000,0
108000,188418.9363,85368.3167,1.0000,0.010000,0
109000,56896.4675,20904.3372,0.9856,0.010000,0
110000,123342.8622,52549.7390,1.0000,0.010000,0
111000,189662.7577,84082.1182,0.9860,0.010000,0
112000,52541.9470,19064.5109,1.0000,0.010000,0
113000,128900.5747,54485.7683,1.0000,0.010000,0
114000,176891.5061,77685.4299,0.9875,0.010000,0
115000,57974.7591,21898.8316,1.0000,0.010000,0
116000,134481.0795,57434.9620,1.0000,0.010000,0
117000,166419.5954,72639.7947,0.9843,0.010000,0
118000,64927.8336,25328.7500,1.0000,0.010000,0
119000,143052.0879,61401.8339,1.0000,0.010000,0
120000,155970.4338,67939.7413,0.9875,0.010000,0
121000,69682.2483,27627.1132,1.0000,0.010000,0
122000,146609.7657,63161.8207,1.0000,0.010000,0
123000,142474.0497,61446.8197,0.9839,0.010000,0
124000,77499.1101,30646.1708,1.0000,0.010000,0
125000,154033.4593,66766.1865,1.0000,0.010000,0
126000,131497.9508,56545.6163,0.9843,0.010000,0
127000,82721.6108,33778.4003,1.0000,0.010000,0
128000,156652.6560,69074.5945,1.0000,0.010000,0
129000,118744.5065,50763.7844,0.9858,0.010000,0
130000,90337.2844,36747.8457,1.0000,0.010000,0
131000,163949.9631,71702.5049,1.0000,0.010000,0
132000,107270.3412,44913.6162,0.9862,0.010000,0
133000,96085.6412,39016.1967,1.0000,0.010000,0
134000,169996.1154,74273.2584,1.0000,0.010000,0
135000,96800.5752,39720.0452,0.9843,0.010000,0
136000,102836.5247,42357.9401,1.0000,0.010000,0
137000,177758.1027,78005.8882,1.0000,0.010000,0
138000,85550.5834,34422.5133,0.9848,0.010000,0
139000,109311.1265,45270.8606,1.0000,0.010000,0
140000,184078.5364,81040.2015,1.0000,0.010000,0
141000,73886.7591,28580.8079,0.9857,0.010000,0
142000,115170.3580,47640.0943,1.0000,0.010000,0
143000,188705.4024,83459.7121,1.0000,0.010000,0
144000,62693.0936,23448.3650,0.9865,0.010000,0
145000,120299.3538,50682.4592,1.0000,0.010000,0
146000,194399.6649,86492.2408,1.0000,0.010000,0
147000,50615.2402,17749.4191,0.9886,0.010000,0
148000,126640.4818,53144.2307,1.0000,0.010000,0
149000,183209.8451,79925.2823,0.9840,0.010000,0
150000,53800.7198,20188.1254,1.0000,0.010000,0
151000,129623.9436,54931.5099,1.0000,0.010000,0
152000,168341.1275,73444.0603,0.9851,0.010000,0
153000,60710.1642,23073.4601,1.0000,0.010000,0
154000,136549.3620,57950.7443,1.0000,0.010000,0
155000,158479.2658,68700.9678,0.9863,0.010000,0
156000,67284.8196,25795.4664,1.0000,0.010000,0
157000,143073.5142,60716.4367,1.0000,0.010000,0
158000,147233.3875,63371.4962,0.9873,0.010000,0
159000,73035.1548,28431.7961,1.0000,0.010000,0
160000,147229.7888,63438.6631,1.0000,0.010000,0
161000,134074.1931,57679.1450,0.9864,0.010000,0
162000,78168.2534,31232.0943,1.0000,0.010000,0
163000,153442.8507,65984.0602,1.0000,0.010000,0
164000,124262.4840,52592.6394,0.9867,0.010000,0
165000,85475.2599,34217.2978,1.0000,0.010000,0
166000,158416.2672,68646.0006,1.0000,0.010000,0
167000,110945.7585,46501.5946,0.9854,0.010000,0
168000,90200.9799,36568.1237,1.0000,0.010000,0
169000,162753.1267,71145.0116,1.0000,0.010000,0
170000,98705.8767,40900.6186,0.9874,0.010000,0
171000,95888.6088,39044.2250,1.0000,0.010000,0
172000,169193.6388,73609.9589,1.0000,0.010000,0
173000,89018.3286,35781.6190,0.9827,0.010000,0
174000,102608.6984,41992.4225,1.0000,0.010000,0
175000,175557.7066,76590.5773,1.0000,0.010000,0
176000,77107.4179,30669.2557,0.9865,0.010000,0
177000,106773.3773,44885.1997,1.0000,0.010000,0
178000,177223.1628,79167.5760,1.0000,0.010000,0
179000,65897.1910,25332.0558,0.9869,0.010000,0
180000,113579.7379,47743.8302,1.0000,0.010000,0
181000,185931.8454,82683.8875,1.0000,0.010000,0
182000,55540.6287,19866.2164,0.9843,0.010000,0
183000,120124.6187,49921.9089,1.0000,0.010000,0
184000,185901.7849,79969.4786,0.9896,0.010000,0
185000,50127.9087,18312.8313,1.0000,0.010000,0
186000,126050.4898,52440.7673,1.0000,0.010000,0
187000,173887.6475,74930.6230,0.9857,0.010000,0
188000,56272.0096,20908.5621,1.0000,0.010000,0
189000,131017.4725,54703.0649,1.0000,0.010000,0
190000,161788.1570,69003.2846,0.9868,0.010000,0
191000,62531.1925,23937.4135,1.0000,0.010000,0
192000,138230.8575,58256.0467,1.0000,0.010000,0
193000,149855.8473,64136.2987,0.9882,0.010000,0
194000,69550.2041,26740.2110,1.0000,0.010000,0
195000,143347.9660,60526.5972,1.0000,0.010000,0
196000,138198.4752,58519.8959,0.9845,0.010000,0
197000,74763.7277,29056.5445,1.0000,0.010000,0
198000,147894.3849,62268.3442,1.0000,0.010000,0
199000,126801.9564,52958.1819,0.9840,0.010000,0
200000,81265.4781,31565.6988,1.0000,0.010000,0
201000,155292.3377,65749.7319,1.0000,0.010000,0
202000,116598.4980,48246.9166,0.9849,0.010000,0
203000,87447.2163,34802.6776,1.0000,0.010000,0
204000,159944.1284,68586.8183,1.0000,0.010000,0
205000,105348.9542,43001.6767,0.9823,0.010000,0
206000,94377.9140,37799.1048,1.0000,0.010000,0
207000,166581.8141,72111.2901,1.0000,0.010000,0
208000,93628.9642,38060.1684,0.9876,0.010000,0
209000,98486.4702,39669.6538,1.0000,0.010000,0
210000,169866.5968,73784.1122,1.0000,0.010000,0
211000,82921.5850,32874.9017,0.9875,0.010000,0
212000,106546.9429,43305.5371,1.0000,0.010000,0
213000,178330.2164,77214.3379,1.0000,0.010000,0
214000,71782.3676,27545.7406,0.9867,0.010000,0
215000,110296.6873,45583.5723,1.0000,0.010000,0
216000,180525.2531,79352.0835,1.0000,0.010000,0
217000,60464.1912,22207.5914,0.9856,0.010000,0
218000,117697.5545,48637.1540,1.0000,0.010000,0
219000,188991.4731,83440.2380,1.0000,0.010000,0
220000,49937.6456,17238.5618,0.9849,0.010000,0
221000,122793.4768,51578.4420,1.0000,0.010000,0
222000,177999.6947,77476.5575,0.9839,0.010000,0
223000,54821.7316,20366.2863,1.0000,0.010000,0
224000,129214.3786,54637.0645,1.0000,0.010000,0
225000,167122.4194,72761.0028,0.9855,0.010000,0
226000,60078.1536,22648.1477,1.0000,0.010000,0
227000,134786.9289,56926.5161,1.0000,0.010000,0
228000,155562.5367,67181.7156,0.9868,0.010000,0
229000,65688.8917,25525.8147,1.0000,0.010000,0
230000,140321.7091,60044.4727,1.0000,0.010000,0
231000,145146.8419,62355.8832,0.9863,0.010000,0
232000,71370.9668,27863.2097,1.0000,0.010000,0
233000,146160.8592,61903.5120,1.0000,0.010000,0
