seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
456,Stable_Operations,M3: PPO + Priors,0,18004753.261584878,18004753.261584878,43293.334121223066,0.704624097976127,13.966955352750434,0.013261370792210424
456,Stable_Operations,M3: PPO + Priors,1,17837996.5660128,17837996.5660128,43882.48090602053,0.7067490033744084,11.404986242564977,0.013192742547235178
456,Stable_Operations,M3: PPO + Priors,2,18224210.788975835,18224210.788975835,43789.34173184876,0.7005179134168338,10.187314632772619,0.012956895038650374
456,Stable_Operations,M3: PPO + Priors,3,18534242.54121971,18534242.54121971,44123.85956106764,0.7128951978379339,11.720617440589095,0.0128406991905831
456,Stable_Operations,M3: PPO + Priors,4,18299275.764776826,18299275.764776826,43751.92234800505,0.7110320327055755,11.040057060052629,0.012922908758593659
456,Stable_Operations,M3: PPO + Priors,5,18716086.439902306,18716086.439902306,43777.55704733828,0.7104961512292542,11.880577014726306,0.012719904417522482
456,Stable_Operations,M3: PPO + Priors,6,18726260.12842846,18726260.12842846,43880.9406347711,0.7019813711188173,11.35945825832743,0.0128973704623744
456,Stable_Operations,M3: PPO + Priors,7,18332463.061895132,18332463.061895132,43973.67253784656,0.707906121934423,10.86372740277856,0.012790601379299913
456,Stable_Operations,M3: PPO + Priors,8,18537485.217006207,18537485.217006207,43369.635186543135,0.7039629954056175,11.906671419134602,0.013005792449812616
456,Stable_Operations,M3: PPO + Priors,9,18448990.125448704,18448990.125448704,44399.11320314238,0.7079455768158195,10.979327654039796,0.012775569124704577
456,Stable_Operations,M3: PPO + Priors,10,18079886.555110335,18079886.555110335,43438.56215977933,0.7021551424320199,11.757893846703915,0.01342321495062828
456,Stable_Operations,M3: PPO + Priors,11,18361280.78834951,18361280.78834951,43502.89839483055,0.7098976521287131,11.33834632882926,0.01286103624805485
456,Stable_Operations,M3: PPO + Priors,12,18599571.991954505,18599571.991954505,43631.51965590659,0.7062866421679398,13.206462425477316,0.012757291147086128
456,Stable_Operations,M3: PPO + Priors,13,18740386.190069556,18740386.190069556,43789.812588401306,0.7048584507705428,12.71693107821397,0.012967640479934955
