step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,51889.5564,17972.1978,0.9850,0.010000,0
2000,127425.8656,53861.4193,1.0000,0.010000,0
3000,185878.7710,81690.1993,0.9862,0.010000,0
4000,54202.2808,20368.1090,1.0000,0.010000,0
5000,131925.9735,56125.3663,1.0000,0.010000,0
6000,172344.4705,75404.5892,0.9858,0.010000,0
7000,62099.4567,23895.4790,1.0000,0.010000,0
8000,140852.0291,60041.4194,1.0000,0.010000,0
9000,163171.9618,70875.4155,0.9871,0.010000,0
10000,68502.1718,26703.9844,1.0000,0.010000,0
11000,145292.6912,62495.5621,1.0000,0.010000,0
12000,149852.1829,64911.3488,0.9842,0.010000,0
13000,74462.7271,29633.6226,1.0000,0.010000,0
14000,150750.7603,65541.8960,1.0000,0.010000,0
15000,137827.5205,59612.1216,0.9850,0.010000,0
16000,80756.7217,32112.4063,1.0000,0.010000,0
17000,157301.5463,67873.3422,1.0000,0.010000,0
18000,124875.3381,53416.5236,0.9888,0.010000,0
19000,86920.7370,35200.8347,1.0000,0.010000,0
20000,162079.0421,70914.1651,1.0000,0.010000,0
21000,113697.5251,48250.8030,0.9874,0.010000,0
22000,92655.0302,37785.7828,1.0000,0.010000,0
23000,168032.7502,73547.0680,1.0000,0.010000,0
24000,102520.0853,42428.6022,0.9868,0.010000,0
25000,97490.8124,39901.5028,1.0000,0.010000,0
26000,172318.8892,75197.5669,1.0000,0.010000,0
27000,90424.6372,36368.2152,0.9835,0.010000,0
28000,104626.5524,42647.2020,1.0000,0.010000,0
29000,179343.2813,78390.1850,1.0000,0.010000,0
30000,79203.0922,31201.1927,0.9869,0.010000,0
31000,110669.4414,45736.0024,1.0000,0.010000,0
32000,184278.3796,80841.2653,1.0000,0.010000,0
33000,68065.3673,25887.1731,0.9852,0.010000,0
34000,118355.1927,49751.6878,1.0000,0.010000,0
35000,191547.0998,85906.4493,1.0000,0.010000,0
36000,56324.7433,20246.2063,0.9863,0.010000,0
37000,121122.1369,51313.7842,1.0000,0.010000,0
38000,188992.8016,82676.5062,0.9823,0.010000,0
39000,52257.3093,19033.2057,1.0000,0.010000,0
40000,129885.4360,55214.1625,1.0000,0.010000,0
41000,179232.7520,78276.4400,0.9856,0.010000,0
42000,58885.8830,21726.7248,1.0000,0.010000,0
43000,136874.6853,57363.2570,1.0000,0.010000,0
44000,168077.9343,72698.8421,0.9870,0.010000,0
45000,65239.1621,25100.2340,1.0000,0.010000,0
46000,143305.4700,61214.2971,1.0000,0.010000,0
47000,156432.0006,67418.7323,0.9851,0.010000,0
48000,72449.9499,27797.1274,1.0000,0.010000,0
49000,148150.3772,63402.9386,1.0000,0.010000,0
