seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
456,Systemic_Shock,M2: Vanilla PPO,0,3727954.2233799696,3727954.2233799696,42672.26033778552,0.5965082298422786,4.250022337181609,0.21834930109759457
456,Systemic_Shock,M2: Vanilla PPO,1,4196378.0671133995,4196378.0671133995,42101.5395638737,0.5909300556032072,4.130233830469347,0.20933639406284618
456,Systemic_Shock,M2: Vanilla PPO,2,3470460.5245462656,3470460.5245462656,44521.29747831636,0.6053148338699518,4.616549077882715,0.21203504800919717
456,Systemic_Shock,M2: Vanilla PPO,3,3998229.100713849,3998229.100713849,40947.819669364326,0.5895878540518894,4.667068044587695,0.20478481808671856
456,Systemic_Shock,M2: Vanilla PPO,4,3867213.6038060784,3867213.6038060784,42433.368103252345,0.5958074201625674,3.8572997263279802,0.20172991323578773
456,Systemic_Shock,M2: Vanilla PPO,5,3774202.7685880065,3774202.7685880065,42190.811992705094,0.5956360007873958,4.74445079865446,0.20133564356357392
456,Systemic_Shock,M2: Vanilla PPO,6,3875229.3692052364,3875229.3692052364,42737.05457931191,0.5995101069635308,4.757160976911824,0.19978140654006665
456,Systemic_Shock,M2: Vanilla PPO,7,4372707.246181786,4372707.246181786,43412.00884838886,0.598747304447277,5.851753035102998,0.20170331006044773
456,Systemic_Shock,M2: Vanilla PPO,8,4763687.8274098635,4763687.8274098635,40325.18577949486,0.5857144191572424,4.882683639383262,0.21964414697983511
456,Systemic_Shock,M2: Vanilla PPO,9,3599195.440128088,3599195.440128088,42738.24999597288,0.6001020262625069,4.3254607439628066,0.20868022904560712
456,Systemic_Shock,M2: Vanilla PPO,10,3708872.5350483656,3708872.5350483656,42866.490818675586,0.6011724955009184,4.208055755193133,0.21496298450182047
456,Systemic_Shock,M2: Vanilla PPO,11,3418730.9289687276,3418730.9289687276,44012.66246022079,0.6066903415241596,4.702437839388387,0.19311733942075845
456,Systemic_Shock,M2: Vanilla PPO,12,4414116.35204941,4414116.35204941,41728.315067013464,0.5925313274157884,4.8436357791073315,0.209947928753512
456,Systemic_Shock,M2: Vanilla PPO,13,4047039.558642626,4047039.558642626,42822.350724897704,0.5992440559474275,5.062753563853304,0.20042792100484563
456,Systemic_Shock,M2: Vanilla PPO,14,4605539.13995266,4605539.13995266,43748.21593567448,0.6002245791042095,4.471043502412521,0.21173504581843236
456,Systemic_Shock,M2: Vanilla PPO,15,3626556.964201808,3626556.964201808,43233.054808393936,0.6007413359410942,4.317225685497147,0.206776702048035
456,Systemic_Shock,M2: Vanilla PPO,16,3776198.934657097,3776198.934657097,42924.90270128519,0.5992587541829179,4.842821086832293,0.20647182688061266
456,Systemic_Shock,M2: Vanilla PPO,17,4133103.7412002087,4133103.7412002087,38530.58488584853,0.5760409074180611,4.650040485392183,0.220288747679576
456,Systemic_Shock,M2: Vanilla PPO,18,3623171.7463781238,3623171.7463781238,42578.85212001646,0.5952249049257647,3.8082515313267957,0.21859112207388137
456,Systemic_Shock,M2: Vanilla PPO,19,4018668.0264542103,4018668.0264542103,42698.80391634663,0.5964108550755673,3.979520080102576,0.214178331779004
456,Systemic_Shock,M2: Vanilla PPO,20,3719021.4907295704,3719021.4907295704,43132.79272465811,0.6004328324959222,4.601114491440625,0.20197958793810472
456,Systemic_Shock,M2: Vanilla PPO,21,4213649.8807964325,4213649.8807964325,41739.549830969765,0.5898033472812139,4.743890637031951,0.19796348602514857
456,Systemic_Shock,M2: Vanilla PPO,22,4218265.991549492,4218265.991549492,43117.95155805456,0.599742899307151,4.73978670757653,0.2083008116779933
456,Systemic_Shock,M2: Vanilla PPO,23,4116732.0315252542,4116732.0315252542,41740.27853542015,0.5958588646314364,4.818890424638341,0.20815723252910381
456,Systemic_Shock,M2: Vanilla PPO,24,4361656.067497492,4361656.067497492,43005.67986755283,0.5980698368692312,4.74372264941094,0.22547437299573506
456,Systemic_Shock,M2: Vanilla PPO,25,3940111.456247151,3940111.456247151,42069.360451384,0.594007020955038,4.946238410423649,0.23014560045677818
456,Systemic_Shock,M2: Vanilla PPO,26,4488746.065559804,4488746.065559804,41474.25150785422,0.5934932256038381,5.010438731352473,0.19698351961074995
456,Systemic_Shock,M2: Vanilla PPO,27,4094183.6944559216,4094183.6944559216,41969.360394142546,0.594381447721387,4.466485194082935,0.1969830485614283
456,Systemic_Shock,M2: Vanilla PPO,28,4324979.378809452,4324979.378809452,42318.28861847519,0.5909104498787543,5.023869216509438,0.20994224358999536
456,Systemic_Shock,M2: Vanilla PPO,29,3821745.728654623,3821745.728654623,42410.75672017297,0.5952418119199765,5.078813164115022,0.20845636705422263
456,Systemic_Shock,M2: Vanilla PPO,30,4352369.35485661,4352369.35485661,43243.52765569416,0.597963093145431,4.744281653267011,0.1974738729151803
