step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,35559.2267,18088.2988,0.9857,0.010000,0
2000,47537.7465,53657.1174,1.0000,0.010000,0
3000,72511.9227,81349.2822,0.9826,0.010000,0
4000,35026.1642,20416.4081,1.0000,0.010000,0
5000,47910.6667,55731.4647,1.0000,0.010000,0
6000,68998.4406,74860.0583,0.9848,0.010000,0
7000,36066.9634,23845.5592,1.0000,0.010000,0
8000,47468.3554,59815.2799,1.0000,0.010000,0
9000,66098.2675,70545.1465,0.9836,0.010000,0
10000,41108.7225,26678.4731,1.0000,0.010000,0
11000,52936.9815,62413.7031,1.0000,0.010000,0
12000,66118.0266,64672.3920,0.9816,0.010000,0
13000,40977.9028,29685.7004,1.0000,0.010000,0
14000,52795.6194,65438.5410,1.0000,0.010000,0
15000,61844.1598,59415.3021,0.9858,0.010000,0
16000,41262.9192,32380.8788,1.0000,0.010000,0
17000,52671.4999,67794.8411,1.0000,0.010000,0
18000,57161.3902,53169.8704,0.9846,0.010000,0
19000,42459.8039,34894.1585,1.0000,0.010000,0
20000,54742.9908,70295.1743,1.0000,0.010000,0
21000,54437.1260,47888.5028,0.9882,0.010000,0
22000,43043.2155,37796.6517,1.0000,0.010000,0
23000,56621.7829,73029.8284,1.0000,0.010000,0
24000,50902.2235,42350.2851,0.9849,0.010000,0
25000,42550.3626,40063.2168,1.0000,0.010000,0
26000,57330.3214,74738.7271,1.0000,0.010000,0
27000,47314.0930,36359.7106,0.9848,0.010000,0
28000,44338.3392,42237.1486,1.0000,0.010000,0
29000,61859.5310,77202.6274,1.0000,0.010000,0
30000,45538.6615,31102.5377,0.9822,0.010000,0
31000,44650.4815,45571.0584,1.0000,0.010000,0
32000,64860.5440,80459.5379,1.0000,0.010000,0
33000,40163.7239,25664.7600,0.9869,0.010000,0
34000,44644.0781,47963.3059,1.0000,0.010000,0
35000,66660.8328,82770.8065,1.0000,0.010000,0
36000,36925.5733,19976.0440,0.9864,0.010000,0
37000,45235.2565,49360.6681,1.0000,0.010000,0
38000,70423.0841,79311.8606,0.9838,0.010000,0
