step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,34651.7337,18076.6513,0.9855,0.010000,0
2000,46858.7098,54183.0000,1.0000,0.010000,0
3000,71359.2249,81990.5473,0.9866,0.010000,0
4000,35332.1596,20908.5920,1.0000,0.010000,0
5000,48306.7796,56721.9620,1.0000,0.010000,0
6000,68050.4924,76014.7339,0.9863,0.010000,0
7000,38578.4147,23598.9779,1.0000,0.010000,0
8000,50527.0526,59417.4463,1.0000,0.010000,0
9000,66728.8495,70507.9593,0.9888,0.010000,0
10000,39609.9140,26515.8626,1.0000,0.010000,0
11000,51239.8309,62284.6493,1.0000,0.010000,0
12000,64352.3023,65173.4571,0.9871,0.010000,0
13000,40699.6648,29426.6497,1.0000,0.010000,0
14000,51548.6979,65343.5100,1.0000,0.010000,0
15000,60667.3077,59415.1918,0.9862,0.010000,0
16000,42262.9988,32347.9903,1.0000,0.010000,0
17000,54954.6537,68512.7686,1.0000,0.010000,0
18000,60078.8513,54297.7812,0.9850,0.010000,0
19000,43473.7938,35631.8465,1.0000,0.010000,0
20000,57292.8194,71846.1274,1.0000,0.010000,0
21000,55876.4784,48619.0567,0.9861,0.010000,0
22000,43586.9210,38085.7198,1.0000,0.010000,0
23000,57410.5112,73804.9059,1.0000,0.010000,0
24000,51657.5221,42932.3891,0.9856,0.010000,0
25000,45631.6138,41265.6684,1.0000,0.010000,0
26000,63214.1353,76806.2574,1.0000,0.010000,0
27000,50060.5957,37545.7777,0.9834,0.010000,0
28000,46138.5418,44014.4305,1.0000,0.010000,0
29000,65013.7282,79653.1061,1.0000,0.010000,0
30000,45078.5379,31789.3005,0.9869,0.010000,0
31000,45594.2937,46167.6921,1.0000,0.010000,0
32000,67016.3553,82674.8871,1.0000,0.010000,0
33000,41599.1365,26147.9399,0.9840,0.010000,0
34000,46697.7201,49200.5180,1.0000,0.010000,0
35000,70756.8650,85219.2536,1.0000,0.010000,0
36000,37257.8522,20974.4839,0.9833,0.010000,0
37000,46494.7090,53332.0077,1.0000,0.010000,0
