seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
456,Systemic_Shock,M3: PPO + Priors,0,3677445.729097247,3677445.729097247,43838.77234751473,0.8632414021306741,5.126826328730995,0.29554912271100475
456,Systemic_Shock,M3: PPO + Priors,1,4638884.242195129,4638884.242195129,44954.828013380946,0.8590576244532075,5.552960372009086,0.31076308992294577
456,Systemic_Shock,M3: PPO + Priors,2,2679390.234308958,2679390.234308958,42017.95671118878,0.8583403739060649,6.093787429262223,0.2940094939951701
456,Systemic_Shock,M3: PPO + Priors,3,3397565.145317197,3397565.145317197,43361.10018149417,0.8654859000182596,5.704160592100065,0.28705777877485666
456,Systemic_Shock,M3: PPO + Priors,4,3493096.5193226337,3493096.5193226337,43579.62850836953,0.861135802247075,5.660354627309773,0.3046194218020242
456,Systemic_Shock,M3: PPO + Priors,5,2858456.434454441,2858456.434454441,42360.56673191855,0.8645292944484715,4.985094112581469,0.2921332050271964
456,Systemic_Shock,M3: PPO + Priors,6,2389715.4426937103,2389715.4426937103,43386.48623804083,0.8631166314196388,5.164164122839554,0.29536312147187954
456,Systemic_Shock,M3: PPO + Priors,7,3309681.134328127,3309681.134328127,43379.492506127586,0.8579540865200463,5.791821279010845,0.29465923573810116
456,Systemic_Shock,M3: PPO + Priors,8,3540066.1726688147,3540066.1726688147,43508.07691506456,0.860275344531284,4.849721380614504,0.3047134249931423
456,Systemic_Shock,M3: PPO + Priors,9,3616735.500566125,3616735.500566125,43180.59124555202,0.8577034538613696,5.503146069363391,0.3059294387672651
456,Systemic_Shock,M3: PPO + Priors,10,3481540.792931199,3481540.792931199,42023.87501697439,0.8588923355697782,5.943964567025671,0.29976700334412104
456,Systemic_Shock,M3: PPO + Priors,11,3248675.617819071,3248675.617819071,44341.5721870082,0.8586481373761771,5.927203362127174,0.30793262298209795
456,Systemic_Shock,M3: PPO + Priors,12,3414153.5500286818,3414153.5500286818,43312.685051986875,0.8600296843050839,6.108655631602682,0.3045668255010081
456,Systemic_Shock,M3: PPO + Priors,13,2937850.6134138107,2937850.6134138107,41734.49745906561,0.8578328572824513,5.175382108228313,0.29951484866373435
456,Systemic_Shock,M3: PPO + Priors,14,3143632.6704028845,3143632.6704028845,42995.12539285448,0.8563502545649915,6.107173713258193,0.30252964208432925
456,Systemic_Shock,M3: PPO + Priors,15,3109897.4613109827,3109897.4613109827,43680.17413944132,0.8630645465482574,5.720729459926381,0.2962004389153164
456,Systemic_Shock,M3: PPO + Priors,16,2793881.615265727,2793881.615265727,42619.74273527851,0.8614471979287341,5.5149678022096404,0.28807708353617145
456,Systemic_Shock,M3: PPO + Priors,17,2482415.5164979696,2482415.5164979696,41722.315248750776,0.8650807468564122,6.083410073971624,0.28903949528151207
456,Systemic_Shock,M3: PPO + Priors,18,3325042.8825975657,3325042.8825975657,42736.21189262633,0.8559349936559543,5.293296395885542,0.30503274559977656
456,Systemic_Shock,M3: PPO + Priors,19,3029473.9819259644,3029473.9819259644,42755.014718555874,0.8578210153279904,5.7004975775928255,0.305407426347819
456,Systemic_Shock,M3: PPO + Priors,20,4177691.1587563753,4177691.1587563753,42526.709886040015,0.8502917601423863,6.811893926613478,0.29409758394862173
456,Systemic_Shock,M3: PPO + Priors,21,3276111.4978597164,3276111.4978597164,45352.179185567555,0.8608803882020969,5.618445185770076,0.3122997168325721
456,Systemic_Shock,M3: PPO + Priors,22,4026607.9595048428,4026607.9595048428,42456.3024078532,0.8591713770986609,5.7666142633768285,0.29542775679582484
456,Systemic_Shock,M3: PPO + Priors,23,3599102.6029160023,3599102.6029160023,43478.76296063668,0.8568851080477033,6.259014342188433,0.28818166182449406
456,Systemic_Shock,M3: PPO + Priors,24,2903121.739969015,2903121.739969015,43052.61408396951,0.8615046046184698,5.676934516326766,0.30786172607744255
456,Systemic_Shock,M3: PPO + Priors,25,3555010.0103604794,3555010.0103604794,43469.399442657996,0.8590360197532064,5.672872436139414,0.29812057482751714
456,Systemic_Shock,M3: PPO + Priors,26,3362893.256357312,3362893.256357312,43409.69951860402,0.8591612084690801,5.054532027894413,0.2917319634642637
456,Systemic_Shock,M3: PPO + Priors,27,2993216.9676707983,2993216.9676707983,42263.32123035539,0.8598884091108129,5.895460126935411,0.28817262424551293
456,Systemic_Shock,M3: PPO + Priors,28,3131215.650240183,3131215.650240183,44149.51285138477,0.8598827392148949,5.8476331456222335,0.306390665737551
456,Systemic_Shock,M3: PPO + Priors,29,3599090.4730968475,3599090.4730968475,42381.40855734074,0.8552885124145869,5.589835313603963,0.31248448162116704
456,Systemic_Shock,M3: PPO + Priors,30,3777100.055328727,3777100.055328727,44252.577243175,0.8570118299040725,6.03084578869261,0.3037308196504958
456,Systemic_Shock,M3: PPO + Priors,31,3180539.573915839,3180539.573915839,41512.652070091455,0.8637414292872868,5.272702711744343,0.28332478407130723
456,Systemic_Shock,M3: PPO + Priors,32,3860615.770167351,3860615.770167351,45014.8955111621,0.8590874233757265,5.580765016899205,0.29722020464063786
456,Systemic_Shock,M3: PPO + Priors,33,4028311.2984591722,4028311.2984591722,43785.10999506997,0.8602721647365886,6.245622152619737,0.30309689076189694
456,Systemic_Shock,M3: PPO + Priors,34,3438768.3218437433,3438768.3218437433,43901.265953722344,0.866501007526641,5.384273834145364,0.3017280669470891
456,Systemic_Shock,M3: PPO + Priors,35,3308711.6397873163,3308711.6397873163,41727.36208934249,0.8623108715939795,5.098736973408446,0.29331609012096455
456,Systemic_Shock,M3: PPO + Priors,36,3164784.868920505,3164784.868920505,43212.12710963897,0.8603492948605487,4.7566887927315875,0.302201357771265
456,Systemic_Shock,M3: PPO + Priors,37,3649238.0136955976,3649238.0136955976,42926.40466992378,0.8566762806988084,5.977158073559824,0.30922869804479053
456,Systemic_Shock,M3: PPO + Priors,38,3126222.863592863,3126222.863592863,43333.187007467466,0.8638358573494574,5.084447944670379,0.30572833726163157
456,Systemic_Shock,M3: PPO + Priors,39,3061860.292263627,3061860.292263627,42450.48477914059,0.8622609247421956,5.3513180219353425,0.28965321696885094
456,Systemic_Shock,M3: PPO + Priors,40,2913876.5944736004,2913876.5944736004,43330.35979869936,0.8609182583609772,5.1981348122453905,0.3021523710492767
456,Systemic_Shock,M3: PPO + Priors,41,4268312.9797183275,4268312.9797183275,44169.26771622909,0.853377398195335,6.093115699545785,0.30022064874562276
456,Systemic_Shock,M3: PPO + Priors,42,3163216.7083491087,3163216.7083491087,42973.95934120683,0.8626491111223236,5.764784229102506,0.28716725189297776
