Criterion,Weight,Rank
Quality,0.1259069568928724,1
Robustness,0.09069568928723859,2
Delivery,0.08962868117797697,3
Financial,0.08962868117797697,4
Agility,0.08962868117797697,5
Flexibility,0.06722151088348273,6
Critical-minerals,0.05377720870678618,7
Health Safety,0.05377720870678618,8
Visibility,0.05377720870678618,9
Eco Cert.,0.044814340588988484,10
Waste Mgmt,0.044814340588988484,11
Social compliance,0.044814340588988484,12
Labor Contract,0.044814340588988484,13
Employment,0.044814340588988484,14
Recycling,0.0384122919334187,15
Cost Comp.,0.02347417840375587,16
